period,variable,statistic,weighting,value,n
calibration,capital_assets,p25,equal_bank,0.07621260282842553,50182
calibration,capital_assets,median,equal_bank,0.09216450608890098,50182
calibration,capital_assets,p75,equal_bank,0.11335181149351314,50182
calibration,capital_assets,p25,asset_weighted,0.07912037196148804,50182
calibration,capital_assets,median,asset_weighted,0.0932795307721234,50182
calibration,capital_assets,p75,asset_weighted,0.11202122642027165,50182
calibration,loans_deposits,p25,equal_bank,0.5970903794531336,50182
calibration,loans_deposits,median,equal_bank,0.7523223843688484,50182
calibration,loans_deposits,p75,equal_bank,0.8941083149774515,50182
calibration,loans_deposits,p25,asset_weighted,0.6929203919114685,50182
calibration,loans_deposits,median,asset_weighted,0.8302709166453648,50182
calibration,loans_deposits,p75,asset_weighted,0.9322250528120679,50182
calibration,liquid_deposits,p25,equal_bank,0.03661408596390772,50182
calibration,liquid_deposits,median,equal_bank,0.07084521355600265,50182
calibration,liquid_deposits,p75,equal_bank,0.1346807420692877,50182
calibration,liquid_deposits,p25,asset_weighted,0.02989254601290193,50182
calibration,liquid_deposits,median,asset_weighted,0.05527885623026999,50182
calibration,liquid_deposits,p75,asset_weighted,0.10062155155092521,50182
calibration,ci_share,p25,equal_bank,0.05908176768644112,50182
calibration,ci_share,median,equal_bank,0.10175614923873036,50182
calibration,ci_share,p75,equal_bank,0.15862995652746673,50182
calibration,ci_share,p25,asset_weighted,0.06396217023394724,50182
calibration,ci_share,median,asset_weighted,0.10908737253452563,50182
calibration,ci_share,p75,asset_weighted,0.16719480570913903,50182
calibration,deposit_growth,p25,equal_bank,-0.019608789215165956,45782
calibration,deposit_growth,median,equal_bank,0.0035842293906809264,45782
calibration,deposit_growth,p75,equal_bank,0.02950341182503058,45782
calibration,deposit_growth,p25,asset_weighted,-0.01468086712182437,45782
calibration,deposit_growth,median,asset_weighted,0.005601556878637393,45782
calibration,deposit_growth,p75,asset_weighted,0.02925218864239354,45782
calibration,loan_growth,p25,equal_bank,0.00044657211246468265,45782
calibration,loan_growth,median,equal_bank,0.019513381431598864,45782
calibration,loan_growth,p75,equal_bank,0.04242960211654245,45782
calibration,loan_growth,p25,asset_weighted,0.0029579004920721186,45782
calibration,loan_growth,median,asset_weighted,0.01951732349751878,45782
calibration,loan_growth,p75,asset_weighted,0.03858445104683805,45782
calibration,ci_loan_growth,p25,equal_bank,-0.040648817666601555,44672
calibration,ci_loan_growth,median,equal_bank,0.00798621985593484,44672
calibration,ci_loan_growth,p75,equal_bank,0.06715252472670485,44672
calibration,ci_loan_growth,p25,asset_weighted,-0.030223717828877672,44672
