bank_id,quarter,reasons
57834,2022Q1,nonpositive_gross_loans
59149,2022Q1,nonpositive_gross_loans
10804,2022Q2,nonpositive_equity
15460,2022Q2,nonpositive_equity
2157,2022Q2,nonpositive_equity
22867,2022Q2,nonpositive_equity
57710,2022Q2,nonpositive_gross_loans
57834,2022Q2,nonpositive_gross_loans
59149,2022Q2,nonpositive_gross_loans
10804,2022Q3,nonpositive_equity
12013,2022Q3,nonpositive_equity
13413,2022Q3,nonpositive_equity
13584,2022Q3,nonpositive_equity
15326,2022Q3,nonpositive_equity
15460,2022Q3,nonpositive_equity
17280,2022Q3,nonpositive_equity
17444,2022Q3,nonpositive_equity
17636,2022Q3,nonpositive_equity
18282,2022Q3,nonpositive_equity
19440,2022Q3,nonpositive_equity
2157,2022Q3,nonpositive_equity
22867,2022Q3,nonpositive_equity
2359,2022Q3,nonpositive_equity
3079,2022Q3,nonpositive_equity
3255,2022Q3,nonpositive_equity
32968,2022Q3,nonpositive_equity
3336,2022Q3,nonpositive_equity
34455,2022Q3,nonpositive_equity
3639,2022Q3,nonpositive_equity
4199,2022Q3,nonpositive_equity
41,2022Q3,nonpositive_equity
5018,2022Q3,nonpositive_equity
5673,2022Q3,nonpositive_equity
57710,2022Q3,nonpositive_gross_loans
57834,2022Q3,nonpositive_gross_loans
58184,2022Q3,nonpositive_equity
59149,2022Q3,nonpositive_gross_loans
59312,2022Q3,nonpositive_gross_loans
9860,2022Q3,nonpositive_equity
10804,2022Q4,nonpositive_equity
12013,2022Q4,nonpositive_equity
15460,2022Q4,nonpositive_equity
17280,2022Q4,nonpositive_equity
1730,2022Q4,nonpositive_equity
17636,2022Q4,nonpositive_equity
19440,2022Q4,nonpositive_equity
2157,2022Q4,nonpositive_equity
22867,2022Q4,nonpositive_equity
2359,2022Q4,nonpositive_equity
32968,2022Q4,nonpositive_equity
3639,2022Q4,nonpositive_equity
4199,2022Q4,nonpositive_equity
41,2022Q4,nonpositive_equity
57710,2022Q4,nonpositive_gross_loans
57834,2022Q4,nonpositive_gross_loans
59149,2022Q4,nonpositive_gross_loans
59312,2022Q4,nonpositive_gross_loans
9245,2022Q4,nonpositive_equity
12013,2023Q1,nonpositive_equity
15460,2023Q1,nonpositive_equity
17280,2023Q1,nonpositive_equity
2157,2023Q1,nonpositive_equity
22867,2023Q1,nonpositive_equity
2359,2023Q1,nonpositive_equity
3639,2023Q1,nonpositive_equity
41,2023Q1,nonpositive_equity
57710,2023Q1,nonpositive_gross_loans
57834,2023Q1,nonpositive_gross_loans
59149,2023Q1,nonpositive_gross_loans
59312,2023Q1,nonpositive_gross_loans
8191,2023Q1,nonpositive_equity
12013,2023Q2,nonpositive_equity
15460,2023Q2,nonpositive_equity
17280,2023Q2,nonpositive_equity
18895,2023Q2,nonpositive_equity
2157,2023Q2,nonpositive_equity
22867,2023Q2,nonpositive_equity
2359,2023Q2,nonpositive_equity
32968,2023Q2,nonpositive_equity
3639,2023Q2,nonpositive_equity
4199,2023Q2,nonpositive_equity
41,2023Q2,nonpositive_equity
57710,2023Q2,nonpositive_gross_loans
57834,2023Q2,nonpositive_gross_loans
59149,2023Q2,nonpositive_gross_loans
59312,2023Q2,nonpositive_gross_loans
8191,2023Q2,nonpositive_equity
10804,2023Q3,nonpositive_equity
12013,2023Q3,nonpositive_equity
13413,2023Q3,nonpositive_equity
15326,2023Q3,nonpositive_equity
17280,2023Q3,nonpositive_equity
18895,2023Q3,nonpositive_equity
19440,2023Q3,nonpositive_equity
20239,2023Q3,nonpositive_equity
2157,2023Q3,nonpositive_equity
22867,2023Q3,nonpositive_equity
2359,2023Q3,nonpositive_equity
3079,2023Q3,nonpositive_equity
32968,2023Q3,nonpositive_equity
34455,2023Q3,nonpositive_equity
3639,2023Q3,nonpositive_equity
4199,2023Q3,nonpositive_equity
41,2023Q3,nonpositive_equity
4794,2023Q3,nonpositive_equity
5018,2023Q3,nonpositive_equity
5673,2023Q3,nonpositive_equity
57710,2023Q3,nonpositive_gross_loans
57834,2023Q3,nonpositive_gross_loans
58184,2023Q3,nonpositive_equity
59149,2023Q3,nonpositive_gross_loans
59312,2023Q3,nonpositive_gross_loans
