column,missing_count,missing_share
bank_id,0,0.0
quarter,0,0.0
active,0,0.0
domestic_charter,0,0.0
fdic_insured,0,0.0
commercial_bank,0,0.0
assets,0,0.0
deposits,0,0.0
gross_loans,0,0.0
liquid_assets,0,0.0
equity,0,0.0
ci_loans,0,0.0
ci_chargeoffs,0,0.0
size_stratum,0,0.0
capital_assets,0,0.0
loans_deposits,0,0.0
liquid_deposits,0,0.0
ci_share,0,0.0
ci_chargeoff_rate,1558,0.023599981822863807
deposit_growth,4407,0.0667555326658285
loan_growth,4407,0.0667555326658285
ci_loan_growth,5859,0.08874986745838193
