regime,coefficient,n,mean,std,se,ci_low,ci_high
administered,borrower_leverage,30,0.004991602132028423,0.0001070087633798934,1.9537037851300124e-05,0.004953309537839875,0.005029894726216971
administered,borrower_risk,30,0.0012165287653304582,3.131307891804695e-05,5.716959889451259e-06,0.0012053235239471338,0.0012277340067137826
administered,capital_buffer,30,0.0008332162859364551,0.0006439945549078312,0.00011757678154450614,0.000602765794109223,0.0010636667777636872
administered,expected_inflation,30,0.008660210140660915,0.0015213421592276345,0.0002777578060975305,0.008115804840709756,0.009204615440612074
administered,reserve_buffer,30,-0.0002534488995548982,0.0008526514077099505,0.00015567213656375806,-0.000558566287219864,5.1668488110067604e-05
market,borrower_leverage,30,0.016829984230848177,0.0004258099241471397,7.774190022165071e-05,0.01667761010641374,0.016982358355282612
market,borrower_risk,30,0.004245890014375175,0.0003300334137365548,6.025558181131547e-05,0.004127789074024997,0.004363990954725353
market,capital_buffer,30,-0.003571647970834313,0.0011349381059471628,0.00020721040066648305,-0.00397778035614062,-0.003165515585528006
market,expected_inflation,30,0.9871479142237642,0.026718824524467624,0.004878167634024387,0.9775867056610764,0.9967091227864521
market,reserve_buffer,30,-0.0016985521279820899,0.0013115766581650258,0.00023946004052474232,-0.0021678938074105847,-0.001229210448553595
