regime,estimand,outcome,n,mean,std,se,ci_low,ci_high
administered,demand_shock_minus_baseline,new_credit,30,31.477393162240087,10.01612853490006,1.8286865124786444,27.893167597781943,35.06161872669823
administered,demand_shock_minus_baseline,output,30,54.440976362629506,1.4061314800321465,0.2567233101439106,53.93779867474744,54.94415405051157
administered,demand_shock_minus_baseline,consumption,30,45.236387956799945,0.0,0.0,45.236387956799945,45.236387956799945
administered,demand_shock_minus_baseline,mean_inflation,30,0.0001298919283704086,2.1378317957961017e-05,3.903128995697676e-06,0.00012224179553884117,0.00013754206120197604
administered,demand_shock_minus_baseline,defaults,30,0,0.0,0.0,0.0,0.0
administered,demand_shock_minus_baseline,write_offs,30,0.0,0.0,0.0,0.0,0.0
administered,demand_shock_minus_baseline,final_deposit_money,30,-1.9495576150118572,7.638276617253893,1.3945521345780703,-4.6828797987848745,0.7837645687611603
administered,demand_shock_minus_baseline,final_credit,30,1.7194864209920326,8.012902827920053,1.4629492099829164,-1.1478940305744834,4.586866872558549
market,demand_shock_minus_baseline,new_credit,30,-38.08788469120001,68.60866514637473,12.526171180329307,-62.639180204645456,-13.536589177754568
market,demand_shock_minus_baseline,output,30,18.14174604080049,33.99266600545191,6.206183320308346,5.977626732996132,30.30586534860485
market,demand_shock_minus_baseline,consumption,30,17.298960962666623,25.3572475543717,4.629578827257362,8.224986461242194,26.37293546409105
market,demand_shock_minus_baseline,mean_inflation,30,0.000801214482856271,0.0006537786421310761,0.00011936310330342925,0.0005672628003815497,0.0010351661653309923
market,demand_shock_minus_baseline,defaults,30,0,0.0,0.0,0.0,0.0
market,demand_shock_minus_baseline,write_offs,30,0.0,0.0,0.0,0.0,0.0
market,demand_shock_minus_baseline,final_deposit_money,30,-25.454549010611117,22.63965349555982,4.133416304539599,-33.55604496750873,-17.353053053713502
market,demand_shock_minus_baseline,final_credit,30,-25.420847528960003,29.320644201346173,5.353192743220115,-35.91310530567143,-14.928589752248579
market_minus_administered,difference_in_differences,new_credit,30,-69.5652778534401,70.5782251697702,12.885761998054008,-94.82137136962595,-44.30918433725424
market_minus_administered,difference_in_differences,output,30,-36.299230321829015,32.97066047533334,6.019591492728024,-48.09762964757594,-24.500830996082087
market_minus_administered,difference_in_differences,consumption,30,-27.93742699413332,25.3572475543717,4.629578827257362,-37.01140149555775,-18.863452492708895
market_minus_administered,difference_in_differences,mean_inflation,30,0.0006713225544858624,0.0006518438539256139,0.00011900986092205371,0.0004380632270786372,0.0009045818818930876
market_minus_administered,difference_in_differences,defaults,30,0,0.0,0.0,0.0,0.0
market_minus_administered,difference_in_differences,write_offs,30,0.0,0.0,0.0,0.0,0.0
market_minus_administered,difference_in_differences,final_deposit_money,30,-23.50499139559926,24.65166359269864,4.5007574099166305,-32.32647591903586,-14.683506872162663
market_minus_administered,difference_in_differences,final_credit,30,-27.140333949952037,31.315445721851166,5.717392006728844,-38.34642228314057,-15.934245616763501
