scenario,comparison,outcome,n,mean,std,se,ci_low,ci_high
h7_abundant_unavailable,market_minus_administered,new_credit,30,-66.75160385336615,136.44989082206703,24.91222772412108,-115.57957019264347,-17.92363751408883
h7_abundant_unavailable,market_minus_administered,output,30,-205.29089797637906,136.19774837598422,24.866193022313052,-254.02863630011262,-156.5531596526455
h7_abundant_unavailable,market_minus_administered,inflation_volatility,30,9.689932664425384e-05,0.00010409261869459766,1.9004625109605033e-05,5.965026142942797e-05,0.0001341483918590797
h7_abundant_unavailable,market_minus_administered,defaults,30,0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market_minus_administered,write_offs,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market_minus_administered,interbank_volume,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market_minus_administered,emergency_borrowing,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market_minus_administered,liquidity_shortfall,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market_minus_administered,final_credit,30,69.68408190587257,28.84830352530362,5.266955528854866,59.36084906931704,80.00731474242811
h7_scarce_unavailable,market_minus_administered,new_credit,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market_minus_administered,output,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market_minus_administered,inflation_volatility,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market_minus_administered,defaults,40,0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market_minus_administered,write_offs,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market_minus_administered,interbank_volume,40,123.31556059261902,12.63922137731053,1.998436370169585,119.39862530708663,127.23249587815141
h7_scarce_unavailable,market_minus_administered,emergency_borrowing,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market_minus_administered,liquidity_shortfall,40,0.0,4.91183277397178e-13,7.76628952580692e-14,-1.5221927470581564e-13,1.5221927470581564e-13
