scenario,regime,outcome,n,mean,std,se,ci_low,ci_high
h7_abundant_unavailable,administered,new_credit,30,1243.3587441434734,27.06215653306728,4.940851195965584,1233.6746757993808,1253.042812487566
h7_abundant_unavailable,administered,output,30,1816.3093824836028,53.771729226477895,9.817329684467254,1797.067416302047,1835.5513486651587
h7_abundant_unavailable,administered,inflation_volatility,30,0.033515851088063875,0.0006216711275076235,0.00011350109996186525,0.033293388932138616,0.03373831324398913
h7_abundant_unavailable,administered,defaults,30,0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,administered,write_offs,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,administered,interbank_volume,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,administered,emergency_borrowing,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,administered,liquidity_shortfall,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,administered,final_credit,30,98.43656988667153,17.13454200979579,3.1283250570950196,92.3050527747653,104.56808699857777
h7_abundant_unavailable,market,new_credit,30,1176.6071402901073,140.08265862878164,25.5754773487598,1126.479204686538,1226.7350758936766
h7_abundant_unavailable,market,output,30,1611.0184845072235,184.0993849575923,33.611795321366856,1545.1393656773446,1676.8976033371025
h7_abundant_unavailable,market,inflation_volatility,30,0.03361275041470813,0.0006389428933750026,0.0001166544785530357,0.03338410763674418,0.033841393192672084
h7_abundant_unavailable,market,defaults,30,0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market,write_offs,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market,interbank_volume,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market,emergency_borrowing,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market,liquidity_shortfall,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market,final_credit,30,168.1206517925441,18.96641958165668,3.46277861332702,161.33360571042314,174.90769787466505
h7_scarce_limited,administered,new_credit,40,30.0,0.0,0.0,30.0,30.0
h7_scarce_limited,administered,output,40,681.8385603007688,19.73169422397875,3.119854792088072,675.7236449082761,687.9534756932615
h7_scarce_limited,administered,inflation_volatility,40,0.03338508580011178,0.0006754433191956,0.00010679696595011129,0.03317576374684956,0.033594407853373996
h7_scarce_limited,administered,defaults,40,0,0.0,0.0,0.0,0.0
