hypothesis,regime,outcome,pilot_n,observed_effect,pilot_std,required_n_80pct
H2,market_minus_administered,borrower_leverage,30,0.011838382098819752,0.0004345954136271891,1
H2,market_minus_administered,borrower_risk,30,0.0030293612490447167,0.0003293143425391486,1
H2,market_minus_administered,reserve_buffer,30,-0.0014451032284271918,0.001073725654936461,5
H2,market_minus_administered,capital_buffer,30,-0.004404864256770768,0.000972880171942741,1
H2,market_minus_administered,expected_inflation,30,0.9784877040831033,0.026368335494819,1
H3,administered,new_credit,30,31.477393162240087,10.01612853490006,1
H3,administered,output,30,54.440976362629506,1.4061314800321465,1
H3,administered,consumption,30,45.236387956799945,0.0,0
H3,administered,mean_inflation,30,0.0001298919283704086,2.1378317957961017e-05,1
H3,administered,defaults,30,0,0.0,
H3,administered,write_offs,30,0.0,0.0,
H3,administered,final_deposit_money,30,-1.9495576150118572,7.638276617253893,121
H3,administered,final_credit,30,1.7194864209920326,8.012902827920053,171
H3,market,new_credit,30,-38.08788469120001,68.60866514637473,26
H3,market,output,30,18.14174604080049,33.99266600545191,28
H3,market,consumption,30,17.298960962666623,25.3572475543717,17
H3,market,mean_inflation,30,0.000801214482856271,0.0006537786421310761,6
H3,market,defaults,30,0,0.0,
H3,market,write_offs,30,0.0,0.0,
H3,market,final_deposit_money,30,-25.454549010611117,22.63965349555982,7
H3,market,final_credit,30,-25.420847528960003,29.320644201346173,11
H3,market_minus_administered,new_credit,30,-69.5652778534401,70.5782251697702,9
H3,market_minus_administered,output,30,-36.299230321829015,32.97066047533334,7
H3,market_minus_administered,consumption,30,-27.93742699413332,25.3572475543717,7
H3,market_minus_administered,mean_inflation,30,0.0006713225544858624,0.0006518438539256139,8
H3,market_minus_administered,defaults,30,0,0.0,
H3,market_minus_administered,write_offs,30,0.0,0.0,
H3,market_minus_administered,final_deposit_money,30,-23.50499139559926,24.65166359269864,9
H3,market_minus_administered,final_credit,30,-27.140333949952037,31.315445721851166,11
H7,h7_abundant_unavailable,new_credit,30,-66.75160385336615,136.44989082206703,33
H7,h7_abundant_unavailable,output,30,-205.29089797637906,136.19774837598422,4
H7,h7_abundant_unavailable,inflation_volatility,30,9.689932664425384e-05,0.00010409261869459766,10
H7,h7_abundant_unavailable,defaults,30,0,0.0,
H7,h7_abundant_unavailable,write_offs,30,0.0,0.0,
H7,h7_abundant_unavailable,interbank_volume,30,0.0,0.0,
H7,h7_abundant_unavailable,emergency_borrowing,30,0.0,0.0,
H7,h7_abundant_unavailable,liquidity_shortfall,30,0.0,0.0,
H7,h7_abundant_unavailable,final_credit,30,69.68408190587257,28.84830352530362,2
H7,h7_scarce_unavailable,new_credit,40,0.0,0.0,
H7,h7_scarce_unavailable,output,40,0.0,0.0,
H7,h7_scarce_unavailable,inflation_volatility,40,0.0,0.0,
H7,h7_scarce_unavailable,defaults,40,0,0.0,
H7,h7_scarce_unavailable,write_offs,40,0.0,0.0,
H7,h7_scarce_unavailable,interbank_volume,40,123.31556059261902,12.63922137731053,1
H7,h7_scarce_unavailable,emergency_borrowing,40,0.0,0.0,
H7,h7_scarce_unavailable,liquidity_shortfall,40,0.0,4.91183277397178e-13,
H7,h7_scarce_unavailable,final_credit,40,0.0,0.0,
H7,h7_scarce_penalty,new_credit,40,-512.4704151569881,57.945280066654156,1
H7,h7_scarce_penalty,output,40,-378.1825008615336,30.90515415332366,1
H7,h7_scarce_penalty,inflation_volatility,40,-0.00045599715591864413,0.00033959904862456997,5
H7,h7_scarce_penalty,defaults,40,0,0.0,
H7,h7_scarce_penalty,write_offs,40,0.0,0.0,
H7,h7_scarce_penalty,interbank_volume,40,-225.85712712052958,67.4916679532282,1
H7,h7_scarce_penalty,emergency_borrowing,40,209.12418362016015,401.4525121672396,29
H7,h7_scarce_penalty,liquidity_shortfall,40,4.050093593832571e-14,5.6528266707370056e-14,
H7,h7_scarce_penalty,final_credit,40,-110.40182336390852,21.52809642486002,1
H7,h7_scarce_limited,new_credit,40,0.0,0.0,
H7,h7_scarce_limited,output,40,0.0,0.0,
H7,h7_scarce_limited,inflation_volatility,40,0.0,0.0,
H7,h7_scarce_limited,defaults,40,0,0.0,
H7,h7_scarce_limited,write_offs,40,0.0,0.0,
H7,h7_scarce_limited,interbank_volume,40,99.6930142685147,22.763927908568803,1
H7,h7_scarce_limited,emergency_borrowing,40,-110.42774241660553,23.888726938614436,1
H7,h7_scarce_limited,liquidity_shortfall,40,560.8839748516909,143.32941963692835,1
H7,h7_scarce_limited,final_credit,40,0.0,0.0,
H7,abundant_minus_scarce_unavailable:administered,new_credit,30,1243.3587441434734,27.06215653306728,1
H7,abundant_minus_scarce_unavailable:administered,output,30,1172.5457939768703,42.43783743852093,1
H7,abundant_minus_scarce_unavailable:administered,inflation_volatility,30,1.0311636604579585e-05,0.00024501118097283947,4427
H7,abundant_minus_scarce_unavailable:administered,defaults,30,0,0.0,
H7,abundant_minus_scarce_unavailable:administered,write_offs,30,0.0,0.0,
H7,abundant_minus_scarce_unavailable:administered,interbank_volume,30,-297.10469116690496,96.42010492610687,1
H7,abundant_minus_scarce_unavailable:administered,emergency_borrowing,30,0.0,0.0,
H7,abundant_minus_scarce_unavailable:administered,liquidity_shortfall,30,-1408.199751103356,216.85695774967104,1
H7,abundant_minus_scarce_unavailable:administered,final_credit,30,98.43656988667153,17.13454200979579,1
H7,abundant_minus_scarce_unavailable:market,new_credit,30,1176.6071402901073,140.08265862878164,1
H7,abundant_minus_scarce_unavailable:market,output,30,967.2548960004912,169.84626808317762,1
H7,abundant_minus_scarce_unavailable:market,inflation_volatility,30,0.00010721096324883342,0.00027681565666997813,53
H7,abundant_minus_scarce_unavailable:market,defaults,30,0,0.0,
H7,abundant_minus_scarce_unavailable:market,write_offs,30,0.0,0.0,
H7,abundant_minus_scarce_unavailable:market,interbank_volume,30,-422.6657474452644,88.03112142957532,1
H7,abundant_minus_scarce_unavailable:market,emergency_borrowing,30,0.0,0.0,
H7,abundant_minus_scarce_unavailable:market,liquidity_shortfall,30,-1408.1997511033562,216.85695774967112,1
H7,abundant_minus_scarce_unavailable:market,final_credit,30,168.1206517925441,18.96641958165668,1
H7,scarce_penalty_minus_unavailable:administered,new_credit,40,576.1014884369881,6.731724790862912,1
H7,scarce_penalty_minus_unavailable:administered,output,40,433.8311510826001,21.147135355751317,1
H7,scarce_penalty_minus_unavailable:administered,inflation_volatility,40,0.00028645113769349643,0.0003770764526675172,14
H7,scarce_penalty_minus_unavailable:administered,defaults,40,0,0.0,
H7,scarce_penalty_minus_unavailable:administered,write_offs,40,0.0,0.0,
H7,scarce_penalty_minus_unavailable:administered,interbank_volume,40,458.96831449514445,9.956916785534611,1
H7,scarce_penalty_minus_unavailable:administered,emergency_borrowing,40,1229.385767266759,141.8224814177974,1
H7,scarce_penalty_minus_unavailable:administered,liquidity_shortfall,40,-1395.378871970916,212.60350492979222,1
H7,scarce_penalty_minus_unavailable:administered,final_credit,40,119.82066598790851,2.749572654499933,1
H7,scarce_penalty_minus_unavailable:market,new_credit,40,63.63107328,58.79033647418749,7
H7,scarce_penalty_minus_unavailable:market,output,40,55.648650221066504,37.4341384931569,4
H7,scarce_penalty_minus_unavailable:market,inflation_volatility,40,-0.0001695460182251477,0.00018464295876504964,10
H7,scarce_penalty_minus_unavailable:market,defaults,40,0,0.0,
H7,scarce_penalty_minus_unavailable:market,write_offs,40,0.0,0.0,
H7,scarce_penalty_minus_unavailable:market,interbank_volume,40,109.79562678199584,72.33225282848679,4
H7,scarce_penalty_minus_unavailable:market,emergency_borrowing,40,1438.5099508869193,523.0937684132631,2
H7,scarce_penalty_minus_unavailable:market,liquidity_shortfall,40,-1395.378871970916,212.60350492979225,1
H7,scarce_penalty_minus_unavailable:market,final_credit,40,9.418842624000002,21.564007127238636,42
H7,scarce_limited_minus_unavailable:administered,new_credit,40,30.0,0.0,0
H7,scarce_limited_minus_unavailable:administered,output,40,34.402009245332216,2.2010666618536527,1
H7,scarce_limited_minus_unavailable:administered,inflation_volatility,40,-0.00024618098187580167,4.9082798912603914e-05,1
H7,scarce_limited_minus_unavailable:administered,defaults,40,0,0.0,
H7,scarce_limited_minus_unavailable:administered,write_offs,40,0.0,0.0,
H7,scarce_limited_minus_unavailable:administered,interbank_volume,40,49.479296481464786,16.46347836128118,1
H7,scarce_limited_minus_unavailable:administered,emergency_borrowing,40,546.4544687856048,24.691728135947365,1
H7,scarce_limited_minus_unavailable:administered,liquidity_shortfall,40,-723.7340122631842,37.095489123317236,1
H7,scarce_limited_minus_unavailable:administered,final_credit,40,0.0,0.0,
H7,scarce_limited_minus_unavailable:market,new_credit,40,30.0,0.0,0
H7,scarce_limited_minus_unavailable:market,output,40,34.402009245332216,2.2010666618536527,1
H7,scarce_limited_minus_unavailable:market,inflation_volatility,40,-0.00024618098187580167,4.9082798912603914e-05,1
H7,scarce_limited_minus_unavailable:market,defaults,40,0,0.0,
H7,scarce_limited_minus_unavailable:market,write_offs,40,0.0,0.0,
H7,scarce_limited_minus_unavailable:market,interbank_volume,40,25.856750157360466,33.63615029916259,14
H7,scarce_limited_minus_unavailable:market,emergency_borrowing,40,436.02672636899933,34.01921280664107,1
H7,scarce_limited_minus_unavailable:market,liquidity_shortfall,40,-162.85003741149328,122.58636215610002,5
H7,scarce_limited_minus_unavailable:market,final_credit,40,0.0,0.0,
H7,scarce_penalty_minus_limited:administered,new_credit,40,546.1014884369881,6.731724790862912,1
H7,scarce_penalty_minus_limited:administered,output,40,399.4291418372679,19.693378091217358,1
H7,scarce_penalty_minus_limited:administered,inflation_volatility,40,0.0005326321195692982,0.00036085111717171344,4
H7,scarce_penalty_minus_limited:administered,defaults,40,0,0.0,
H7,scarce_penalty_minus_limited:administered,write_offs,40,0.0,0.0,
H7,scarce_penalty_minus_limited:administered,interbank_volume,40,409.4890180136797,14.277186394319829,1
H7,scarce_penalty_minus_limited:administered,emergency_borrowing,40,682.9312984811543,121.7238902675297,1
H7,scarce_penalty_minus_limited:administered,liquidity_shortfall,40,-671.6448597077318,184.91314542679515,1
H7,scarce_penalty_minus_limited:administered,final_credit,40,119.82066598790851,2.749572654499933,1
H7,scarce_penalty_minus_limited:market,new_credit,40,33.63107328,58.79033647418749,24
H7,scarce_penalty_minus_limited:market,output,40,21.24664097573429,36.63666312514007,24
H7,scarce_penalty_minus_limited:market,inflation_volatility,40,7.663496365065397e-05,0.00016420652789158883,36
H7,scarce_penalty_minus_limited:market,defaults,40,0,0.0,
H7,scarce_penalty_minus_limited:market,write_offs,40,0.0,0.0,
H7,scarce_penalty_minus_limited:market,interbank_volume,40,83.93887662463537,76.3404375099649,7
H7,scarce_penalty_minus_limited:market,emergency_borrowing,40,1002.48322451792,514.4564401336487,3
H7,scarce_penalty_minus_limited:market,liquidity_shortfall,40,-1232.5288345594226,317.42730109753444,1
H7,scarce_penalty_minus_limited:market,final_credit,40,9.418842624000002,21.564007127238636,42
