scenario,comparison,outcome,n,mean,std,se,ci_low,ci_high
h7_abundant_unavailable,market_minus_administered,new_credit,30,-382.5329598413639,125.21609307444152,22.861226246512675,-427.34096328452875,-337.724956398199
h7_abundant_unavailable,market_minus_administered,output,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market_minus_administered,inflation_volatility,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market_minus_administered,defaults,30,0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market_minus_administered,write_offs,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market_minus_administered,interbank_volume,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market_minus_administered,emergency_borrowing,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market_minus_administered,liquidity_shortfall,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market_minus_administered,final_credit,30,50.13685455435423,2.474145175061305,0.4517150409745483,49.25149307404411,51.022216034664346
h7_scarce_unavailable,market_minus_administered,new_credit,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market_minus_administered,output,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market_minus_administered,inflation_volatility,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market_minus_administered,defaults,30,0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market_minus_administered,write_offs,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market_minus_administered,interbank_volume,30,125.56105627835943,12.706295839938473,2.3198416179561177,121.01416670716544,130.10794584955343
h7_scarce_unavailable,market_minus_administered,emergency_borrowing,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market_minus_administered,liquidity_shortfall,30,1.1368683772161603e-13,4.498203653068189e-13,8.212558696791964e-14,-4.727931273550647e-14,2.746529881787385e-13
h7_scarce_unavailable,market_minus_administered,final_credit,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_penalty,market_minus_administered,new_credit,30,-52.357020255320286,49.75506729250539,9.083990902097565,-70.16164242343152,-34.552398087209056
h7_scarce_penalty,market_minus_administered,output,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_penalty,market_minus_administered,inflation_volatility,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_penalty,market_minus_administered,defaults,30,0,0.0,0.0,0.0,0.0
h7_scarce_penalty,market_minus_administered,write_offs,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_penalty,market_minus_administered,interbank_volume,30,73.51596639851951,10.970559208471098,2.0029409156418803,69.59020220386142,77.4417305931776
h7_scarce_penalty,market_minus_administered,emergency_borrowing,30,299.39593834986454,145.2328393026937,26.515767392202733,247.42503426114718,351.3668424385819
h7_scarce_penalty,market_minus_administered,liquidity_shortfall,30,1.5631940186722205e-14,2.621680578691801e-14,4.786511971742323e-15,6.250376722107251e-15,2.501350365133716e-14
h7_scarce_penalty,market_minus_administered,final_credit,30,-35.16120142757146,23.46841584352012,4.2847269154692,-43.5592661818911,-26.76313667325183
h7_scarce_limited,market_minus_administered,new_credit,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_limited,market_minus_administered,output,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_limited,market_minus_administered,inflation_volatility,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_limited,market_minus_administered,defaults,30,0,0.0,0.0,0.0,0.0
h7_scarce_limited,market_minus_administered,write_offs,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_limited,market_minus_administered,interbank_volume,30,75.44082078669014,14.794867576473258,2.701160902312064,70.1465454181585,80.73509615522178
h7_scarce_limited,market_minus_administered,emergency_borrowing,30,-121.27540234509424,28.24098407288893,5.156074674288463,-131.38130870669963,-111.16949598348884
h7_scarce_limited,market_minus_administered,liquidity_shortfall,30,584.8789174130386,146.3176033182522,26.71381729916649,532.5198355066723,637.2379993194049
h7_scarce_limited,market_minus_administered,final_credit,30,0.0,0.0,0.0,0.0,0.0
abundant_minus_scarce_unavailable,institutional_contrast_administered,new_credit,30,1578.5904289443336,0.0,0.0,1578.5904289443336,1578.5904289443336
abundant_minus_scarce_unavailable,institutional_contrast_administered,output,30,0.0,0.0,0.0,0.0,0.0
abundant_minus_scarce_unavailable,institutional_contrast_administered,inflation_volatility,30,0.0,0.0,0.0,0.0,0.0
abundant_minus_scarce_unavailable,institutional_contrast_administered,defaults,30,0,0.0,0.0,0.0,0.0
abundant_minus_scarce_unavailable,institutional_contrast_administered,write_offs,30,0.0,0.0,0.0,0.0,0.0
abundant_minus_scarce_unavailable,institutional_contrast_administered,interbank_volume,30,-297.10469116690496,96.42010492610687,17.603822155014573,-331.6081825907335,-262.6011997430764
abundant_minus_scarce_unavailable,institutional_contrast_administered,emergency_borrowing,30,0.0,0.0,0.0,0.0,0.0
abundant_minus_scarce_unavailable,institutional_contrast_administered,liquidity_shortfall,30,-1408.199751103356,216.85695774967104,39.592482503813194,-1485.8010168108299,-1330.598485395882
abundant_minus_scarce_unavailable,institutional_contrast_administered,final_credit,30,235.60127814121725,0.0,0.0,235.60127814121725,235.60127814121725
abundant_minus_scarce_unavailable,institutional_contrast_market,new_credit,30,1196.0574691029697,125.21609307444152,22.861226246512675,1151.2494656598049,1240.8654725461345
abundant_minus_scarce_unavailable,institutional_contrast_market,output,30,0.0,0.0,0.0,0.0,0.0
abundant_minus_scarce_unavailable,institutional_contrast_market,inflation_volatility,30,0.0,0.0,0.0,0.0,0.0
abundant_minus_scarce_unavailable,institutional_contrast_market,defaults,30,0,0.0,0.0,0.0,0.0
abundant_minus_scarce_unavailable,institutional_contrast_market,write_offs,30,0.0,0.0,0.0,0.0,0.0
abundant_minus_scarce_unavailable,institutional_contrast_market,interbank_volume,30,-422.6657474452644,88.03112142957532,16.07221032315161,-454.16727967864153,-391.16421521188727
abundant_minus_scarce_unavailable,institutional_contrast_market,emergency_borrowing,30,0.0,0.0,0.0,0.0,0.0
abundant_minus_scarce_unavailable,institutional_contrast_market,liquidity_shortfall,30,-1408.1997511033562,216.85695774967112,39.59248250381321,-1485.80101681083,-1330.5984853958823
abundant_minus_scarce_unavailable,institutional_contrast_market,final_credit,30,285.7381326955715,2.474145175061305,0.4517150409745483,284.8527712152614,286.6234941758816
scarce_penalty_minus_unavailable,institutional_contrast_administered,new_credit,30,355.5384993609573,0.0,0.0,355.5384993609573,355.5384993609573
scarce_penalty_minus_unavailable,institutional_contrast_administered,output,30,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_unavailable,institutional_contrast_administered,inflation_volatility,30,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_unavailable,institutional_contrast_administered,defaults,30,0,0.0,0.0,0.0,0.0
scarce_penalty_minus_unavailable,institutional_contrast_administered,write_offs,30,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_unavailable,institutional_contrast_administered,interbank_volume,30,388.4909557866002,5.041231349610321,0.9203987092612618,386.68697431644813,390.29493725675223
scarce_penalty_minus_unavailable,institutional_contrast_administered,emergency_borrowing,30,1136.3516899123824,143.85467638170653,26.26415041895544,1084.8739550912298,1187.829424733535
scarce_penalty_minus_unavailable,institutional_contrast_administered,liquidity_shortfall,30,-1408.199751103356,216.85695774967104,39.592482503813194,-1485.8010168108299,-1330.598485395882
scarce_penalty_minus_unavailable,institutional_contrast_administered,final_credit,30,57.184819732197326,0.0,0.0,57.184819732197326,57.184819732197326
scarce_penalty_minus_unavailable,institutional_contrast_market,new_credit,30,303.18147910563704,49.75506729250539,9.083990902097565,285.3768569375258,320.98610127374826
scarce_penalty_minus_unavailable,institutional_contrast_market,output,30,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_unavailable,institutional_contrast_market,inflation_volatility,30,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_unavailable,institutional_contrast_market,defaults,30,0,0.0,0.0,0.0,0.0
scarce_penalty_minus_unavailable,institutional_contrast_market,write_offs,30,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_unavailable,institutional_contrast_market,interbank_volume,30,336.4458659067603,6.673532131107944,1.2184146954811148,334.0577731036173,338.83395870990324
scarce_penalty_minus_unavailable,institutional_contrast_market,emergency_borrowing,30,1435.747628262247,282.4183420410735,51.56229886303519,1334.685522490698,1536.8097340337958
scarce_penalty_minus_unavailable,institutional_contrast_market,liquidity_shortfall,30,-1408.1997511033562,216.85695774967112,39.59248250381321,-1485.80101681083,-1330.5984853958823
scarce_penalty_minus_unavailable,institutional_contrast_market,final_credit,30,22.023618304625867,23.46841584352012,4.2847269154692,13.625553550306234,30.421683058945497
scarce_limited_minus_unavailable,institutional_contrast_administered,new_credit,30,30.0,0.0,0.0,30.0,30.0
scarce_limited_minus_unavailable,institutional_contrast_administered,output,30,0.0,0.0,0.0,0.0,0.0
scarce_limited_minus_unavailable,institutional_contrast_administered,inflation_volatility,30,0.0,0.0,0.0,0.0,0.0
scarce_limited_minus_unavailable,institutional_contrast_administered,defaults,30,0,0.0,0.0,0.0,0.0
scarce_limited_minus_unavailable,institutional_contrast_administered,write_offs,30,0.0,0.0,0.0,0.0,0.0
scarce_limited_minus_unavailable,institutional_contrast_administered,interbank_volume,30,42.62873648064278,5.023423005923163,0.917147365411508,40.83112764443622,44.426345316849336
scarce_limited_minus_unavailable,institutional_contrast_administered,emergency_borrowing,30,533.3681871783941,14.012815089715293,2.558378306261948,528.3537656981207,538.3826086586676
scarce_limited_minus_unavailable,institutional_contrast_administered,liquidity_shortfall,30,-709.7203276872335,17.79679762866785,3.249235837525277,-716.0888299287831,-703.351825445684
scarce_limited_minus_unavailable,institutional_contrast_administered,final_credit,30,0.0,0.0,0.0,0.0,0.0
scarce_limited_minus_unavailable,institutional_contrast_market,new_credit,30,30.0,0.0,0.0,30.0,30.0
scarce_limited_minus_unavailable,institutional_contrast_market,output,30,0.0,0.0,0.0,0.0,0.0
scarce_limited_minus_unavailable,institutional_contrast_market,inflation_volatility,30,0.0,0.0,0.0,0.0,0.0
scarce_limited_minus_unavailable,institutional_contrast_market,defaults,30,0,0.0,0.0,0.0,0.0
scarce_limited_minus_unavailable,institutional_contrast_market,write_offs,30,0.0,0.0,0.0,0.0,0.0
scarce_limited_minus_unavailable,institutional_contrast_market,interbank_volume,30,-7.491499011026505,11.031757685578476,2.014114177774105,-11.439162799463752,-3.5438352225892595
scarce_limited_minus_unavailable,institutional_contrast_market,emergency_borrowing,30,412.09278483329985,17.127700595589985,3.1270759914664343,405.96371589002564,418.22185377657405
scarce_limited_minus_unavailable,institutional_contrast_market,liquidity_shortfall,30,-124.84141027419504,129.5122154221983,23.645587286402154,-171.18676135554327,-78.49605919284681
scarce_limited_minus_unavailable,institutional_contrast_market,final_credit,30,0.0,0.0,0.0,0.0,0.0
