scenario,regime,outcome,n,mean,std,se,ci_low,ci_high
h7_abundant_unavailable,administered,new_credit,30,1578.5904289443336,0.0,0.0,1578.5904289443336,1578.5904289443336
h7_abundant_unavailable,administered,output,30,643.7635885067325,16.26247743534984,2.9691085774199566,637.9441356949894,649.5830413184756
h7_abundant_unavailable,administered,inflation_volatility,30,0.033505539451459294,0.0005801085533861,0.00010591284683041896,0.03329795027167167,0.03371312863124692
h7_abundant_unavailable,administered,defaults,30,0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,administered,write_offs,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,administered,interbank_volume,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,administered,emergency_borrowing,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,administered,liquidity_shortfall,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,administered,final_credit,30,235.60127814121725,0.0,0.0,235.60127814121725,235.60127814121725
h7_abundant_unavailable,market,new_credit,30,1196.0574691029697,125.21609307444152,22.861226246512675,1151.2494656598049,1240.8654725461345
h7_abundant_unavailable,market,output,30,643.7635885067325,16.26247743534984,2.9691085774199566,637.9441356949894,649.5830413184756
h7_abundant_unavailable,market,inflation_volatility,30,0.033505539451459294,0.0005801085533861,0.00010591284683041896,0.03329795027167167,0.03371312863124692
h7_abundant_unavailable,market,defaults,30,0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market,write_offs,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market,interbank_volume,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market,emergency_borrowing,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market,liquidity_shortfall,30,0.0,0.0,0.0,0.0,0.0
h7_abundant_unavailable,market,final_credit,30,285.7381326955715,2.474145175061305,0.4517150409745483,284.8527712152614,286.6234941758816
h7_scarce_limited,administered,new_credit,30,30.0,0.0,0.0,30.0,30.0
h7_scarce_limited,administered,output,30,643.7635885067325,16.26247743534984,2.9691085774199566,637.9441356949894,649.5830413184756
h7_scarce_limited,administered,inflation_volatility,30,0.033505539451459294,0.0005801085533861,0.00010591284683041896,0.03329795027167167,0.03371312863124692
h7_scarce_limited,administered,defaults,30,0,0.0,0.0,0.0,0.0
h7_scarce_limited,administered,write_offs,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_limited,administered,interbank_volume,30,339.7334276475477,91.40105580355322,16.687473347798193,307.02597988586325,372.4408754092322
h7_scarce_limited,administered,emergency_borrowing,30,533.3681871783941,14.012815089715293,2.558378306261948,528.3537656981207,538.3826086586676
h7_scarce_limited,administered,liquidity_shortfall,30,698.4794234161226,200.3342490076359,36.57586240744637,626.7907330975277,770.1681137347175
h7_scarce_limited,administered,final_credit,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_limited,market,new_credit,30,30.0,0.0,0.0,30.0,30.0
h7_scarce_limited,market,output,30,643.7635885067325,16.26247743534984,2.9691085774199566,637.9441356949894,649.5830413184756
h7_scarce_limited,market,inflation_volatility,30,0.033505539451459294,0.0005801085533861,0.00010591284683041896,0.03329795027167167,0.03371312863124692
h7_scarce_limited,market,defaults,30,0,0.0,0.0,0.0,0.0
h7_scarce_limited,market,write_offs,30,0.0,0.0,0.0,0.0,0.0
