hypothesis,regime,outcome,pilot_n,observed_effect,pilot_std,required_n_80pct
H2,market_minus_administered,borrower_leverage,30,0.011851333836336067,0.0007873258675657976,1
H2,market_minus_administered,borrower_risk,30,0.003130516855166431,0.0003102178044549012,1
H2,market_minus_administered,reserve_buffer,30,-0.0010201379726898015,0.00030762470940592235,1
H2,market_minus_administered,expected_inflation,30,0.9695775879959829,0.030877410745556364,1
H3,administered,new_credit,30,35.86998868992009,0.0,0
H3,administered,output,30,26.823482854447185,0.6776032264729138,1
H3,administered,consumption,30,22.831815000000006,0.0,0
H3,administered,mean_inflation,30,-0.0006824680248917153,1.7439001528300002e-05,1
H3,administered,defaults,30,0,0.0,
H3,administered,write_offs,30,0.0,0.0,
H3,administered,final_deposit_money,30,1.5974843826668197,0.011517828496178736,1
H3,administered,final_credit,30,5.233562843136042,0.0,0
H3,market,new_credit,30,-68.60851199999999,63.683570129420715,7
H3,market,output,30,26.823482854447185,0.6776032264729138,1
H3,market,consumption,30,22.831815000000006,0.0,0
H3,market,mean_inflation,30,-0.0006824680248917153,1.7439001528300002e-05,1
H3,market,defaults,30,0,0.0,
H3,market,write_offs,30,0.0,0.0,
H3,market,final_deposit_money,30,-22.023937387354575,30.654390226201294,16
H3,market,final_credit,30,-27.8045696,34.257189989868266,12
H3,market_minus_administered,new_credit,30,-104.47850068992008,63.683570129420715,3
H3,market_minus_administered,output,30,0.0,0.0,
H3,market_minus_administered,consumption,30,0.0,0.0,
H3,market_minus_administered,mean_inflation,30,0.0,0.0,
H3,market_minus_administered,defaults,30,0,0.0,
H3,market_minus_administered,write_offs,30,0.0,0.0,
H3,market_minus_administered,final_deposit_money,30,-23.621421770021396,30.653064453188527,14
H3,market_minus_administered,final_credit,30,-33.03813244313604,34.257189989868266,9
H7,h7_abundant_unavailable,new_credit,30,-382.5329598413639,125.21609307444152,1
H7,h7_abundant_unavailable,output,30,0.0,0.0,
H7,h7_abundant_unavailable,inflation_volatility,30,0.0,0.0,
H7,h7_abundant_unavailable,defaults,30,0,0.0,
H7,h7_abundant_unavailable,write_offs,30,0.0,0.0,
H7,h7_abundant_unavailable,interbank_volume,30,0.0,0.0,
H7,h7_abundant_unavailable,emergency_borrowing,30,0.0,0.0,
H7,h7_abundant_unavailable,liquidity_shortfall,30,0.0,0.0,
H7,h7_abundant_unavailable,final_credit,30,50.13685455435423,2.474145175061305,1
H7,h7_scarce_unavailable,new_credit,30,0.0,0.0,
H7,h7_scarce_unavailable,output,30,0.0,0.0,
H7,h7_scarce_unavailable,inflation_volatility,30,0.0,0.0,
H7,h7_scarce_unavailable,defaults,30,0,0.0,
H7,h7_scarce_unavailable,write_offs,30,0.0,0.0,
H7,h7_scarce_unavailable,interbank_volume,30,125.56105627835943,12.706295839938473,1
H7,h7_scarce_unavailable,emergency_borrowing,30,0.0,0.0,
H7,h7_scarce_unavailable,liquidity_shortfall,30,1.1368683772161603e-13,4.498203653068189e-13,
H7,h7_scarce_unavailable,final_credit,30,0.0,0.0,
H7,h7_scarce_penalty,new_credit,30,-52.357020255320286,49.75506729250539,8
H7,h7_scarce_penalty,output,30,0.0,0.0,
H7,h7_scarce_penalty,inflation_volatility,30,0.0,0.0,
H7,h7_scarce_penalty,defaults,30,0,0.0,
H7,h7_scarce_penalty,write_offs,30,0.0,0.0,
H7,h7_scarce_penalty,interbank_volume,30,73.51596639851951,10.970559208471098,1
H7,h7_scarce_penalty,emergency_borrowing,30,299.39593834986454,145.2328393026937,2
H7,h7_scarce_penalty,liquidity_shortfall,30,1.5631940186722205e-14,2.621680578691801e-14,
H7,h7_scarce_penalty,final_credit,30,-35.16120142757146,23.46841584352012,4
H7,h7_scarce_limited,new_credit,30,0.0,0.0,
H7,h7_scarce_limited,output,30,0.0,0.0,
H7,h7_scarce_limited,inflation_volatility,30,0.0,0.0,
H7,h7_scarce_limited,defaults,30,0,0.0,
H7,h7_scarce_limited,write_offs,30,0.0,0.0,
H7,h7_scarce_limited,interbank_volume,30,75.44082078669014,14.794867576473258,1
H7,h7_scarce_limited,emergency_borrowing,30,-121.27540234509424,28.24098407288893,1
H7,h7_scarce_limited,liquidity_shortfall,30,584.8789174130386,146.3176033182522,1
H7,h7_scarce_limited,final_credit,30,0.0,0.0,
H7,abundant_minus_scarce_unavailable:administered,new_credit,30,1578.5904289443336,0.0,0
H7,abundant_minus_scarce_unavailable:administered,output,30,0.0,0.0,
H7,abundant_minus_scarce_unavailable:administered,inflation_volatility,30,0.0,0.0,
H7,abundant_minus_scarce_unavailable:administered,defaults,30,0,0.0,
H7,abundant_minus_scarce_unavailable:administered,write_offs,30,0.0,0.0,
H7,abundant_minus_scarce_unavailable:administered,interbank_volume,30,-297.10469116690496,96.42010492610687,1
H7,abundant_minus_scarce_unavailable:administered,emergency_borrowing,30,0.0,0.0,
H7,abundant_minus_scarce_unavailable:administered,liquidity_shortfall,30,-1408.199751103356,216.85695774967104,1
H7,abundant_minus_scarce_unavailable:administered,final_credit,30,235.60127814121725,0.0,0
H7,abundant_minus_scarce_unavailable:market,new_credit,30,1196.0574691029697,125.21609307444152,1
H7,abundant_minus_scarce_unavailable:market,output,30,0.0,0.0,
H7,abundant_minus_scarce_unavailable:market,inflation_volatility,30,0.0,0.0,
H7,abundant_minus_scarce_unavailable:market,defaults,30,0,0.0,
H7,abundant_minus_scarce_unavailable:market,write_offs,30,0.0,0.0,
