scenario_id,outcome,estimate,lower_95,upper_95,n,standardized_effect,p_value,required_matched_seeds,structural_zero
h7_reserve_0.05_limited_0.5,cumulative_new_credit,-13.043861167855368,-14.526771695369833,-11.606989842470778,20,-3.798122085665223,9.999000099990002e-05,2.0,False
h7_reserve_0.05_limited_0.5,unresolved_liquidity_shortfall,-0.2960452402313733,-0.5225292048810656,-0.09707534489270385,20,-0.5911241680399965,0.0131986801319868,36.0,False
h7_reserve_0.05_limited_1.0,cumulative_new_credit,-13.05023400952326,-14.52318477454231,-11.614255721753224,20,-3.815731454549549,9.999000099990002e-05,2.0,False
h7_reserve_0.05_limited_1.0,unresolved_liquidity_shortfall,-0.04114566585038633,-0.1077250707849384,0.0,20,-0.3033847004906145,0.24857514248575144,135.0,False
h7_reserve_0.05_penalty_1.0,cumulative_new_credit,-13.044004322989673,-14.523581790356433,-11.602655980968725,20,-3.8016035597902444,9.999000099990002e-05,2.0,False
h7_reserve_0.05_penalty_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,20,,1.0,,True
h7_reserve_0.05_unavailable_0.0,cumulative_new_credit,-11.550654096219722,-13.597522657115535,-9.4797959108083,20,-2.358863899121699,9.999000099990002e-05,3.0,False
h7_reserve_0.05_unavailable_0.0,unresolved_liquidity_shortfall,-1.011700371023661,-1.2234007995136513,-0.7999762848285568,20,-2.013161783909725,9.999000099990002e-05,4.0,False
h7_reserve_0.10_limited_0.5,cumulative_new_credit,-12.901178963457658,-14.330832394984293,-11.51019263517496,20,-3.883928221173371,9.999000099990002e-05,2.0,False
h7_reserve_0.10_limited_0.5,unresolved_liquidity_shortfall,0.0,0.0,0.0,20,,1.0,,True
h7_reserve_0.10_limited_1.0,cumulative_new_credit,-12.901178963457658,-14.330832394984293,-11.51019263517496,20,-3.883928221173371,9.999000099990002e-05,2.0,False
h7_reserve_0.10_limited_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,20,,1.0,,True
h7_reserve_0.10_penalty_1.0,cumulative_new_credit,-12.901178963457658,-14.330832394984293,-11.51019263517496,20,-3.883928221173371,9.999000099990002e-05,2.0,False
h7_reserve_0.10_penalty_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,20,,1.0,,True
h7_reserve_0.10_unavailable_0.0,cumulative_new_credit,-12.901178963457658,-14.330832394984293,-11.51019263517496,20,-3.883928221173371,9.999000099990002e-05,2.0,False
h7_reserve_0.10_unavailable_0.0,unresolved_liquidity_shortfall,-2.2204460492503132e-17,-1.0658141036401502e-15,1.021405182655144e-15,20,-0.009011299665892742,1.0,152841.0,True
h7_reserve_0.20_limited_0.5,cumulative_new_credit,-12.76476463855918,-14.209058135066005,-11.36614555776325,20,-3.82453561659766,9.999000099990002e-05,2.0,False
h7_reserve_0.20_limited_0.5,unresolved_liquidity_shortfall,0.0,0.0,0.0,20,,1.0,,True
h7_reserve_0.20_limited_1.0,cumulative_new_credit,-12.76476463855918,-14.209058135066005,-11.36614555776325,20,-3.82453561659766,9.999000099990002e-05,2.0,False
h7_reserve_0.20_limited_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,20,,1.0,,True
h7_reserve_0.20_penalty_1.0,cumulative_new_credit,-12.76476463855918,-14.209058135066005,-11.36614555776325,20,-3.82453561659766,9.999000099990002e-05,2.0,False
h7_reserve_0.20_penalty_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,20,,1.0,,True
h7_reserve_0.20_unavailable_0.0,cumulative_new_credit,-12.76476463855918,-14.209058135066005,-11.36614555776325,20,-3.82453561659766,9.999000099990002e-05,2.0,False
h7_reserve_0.20_unavailable_0.0,unresolved_liquidity_shortfall,-1.6653345369377347e-17,-1.4432899320127036e-16,1.27675647831893e-16,20,-0.05293732031380035,0.7558244175582441,4429.0,True
h7_reserve_0.35_limited_0.5,cumulative_new_credit,-12.882374628667469,-14.354378213744317,-11.45518442100456,20,-3.7855465019137275,9.999000099990002e-05,2.0,False
h7_reserve_0.35_limited_0.5,unresolved_liquidity_shortfall,0.0,0.0,0.0,20,,1.0,,True
h7_reserve_0.35_limited_1.0,cumulative_new_credit,-12.882374628667469,-14.354378213744317,-11.45518442100456,20,-3.7855465019137275,9.999000099990002e-05,2.0,False
h7_reserve_0.35_limited_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,20,,1.0,,True
h7_reserve_0.35_penalty_1.0,cumulative_new_credit,-12.882374628667469,-14.354378213744317,-11.45518442100456,20,-3.7855465019137275,9.999000099990002e-05,2.0,False
h7_reserve_0.35_penalty_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,20,,1.0,,True
h7_reserve_0.35_unavailable_0.0,cumulative_new_credit,-12.882374628667469,-14.354378213744317,-11.45518442100456,20,-3.7855465019137275,9.999000099990002e-05,2.0,False
h7_reserve_0.35_unavailable_0.0,unresolved_liquidity_shortfall,1.1102230246251566e-17,0.0,3.3306690738754695e-17,20,0.22360679774997902,1.0,249.0,True
h7_reserve_0.50_limited_0.5,cumulative_new_credit,-13.727302878692797,-15.33742250381453,-12.191889066038097,20,-3.737297922333195,9.999000099990002e-05,2.0,False
h7_reserve_0.50_limited_0.5,unresolved_liquidity_shortfall,0.0,0.0,0.0,20,,1.0,,True
h7_reserve_0.50_limited_1.0,cumulative_new_credit,-13.727302878692797,-15.33742250381453,-12.191889066038097,20,-3.737297922333195,9.999000099990002e-05,2.0,False
h7_reserve_0.50_limited_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,20,,1.0,,True
