scenario_id,outcome,estimate,lower_95,upper_95,n,standardized_effect,p_value,p_value_holm
h7_reserve_0.05_limited_0.5,cumulative_new_credit,-11.748171671974603,-13.238429567511897,-10.252573381390933,40,-2.384117077257906,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.05_limited_0.5,unresolved_liquidity_shortfall,-0.19195578809615788,-0.42064206378737923,0.049189750522717665,40,-0.2458342847213562,0.12988701129887012,0.12988701129887012
h7_reserve_0.05_limited_1.0,cumulative_new_credit,-11.74009007685965,-13.228955629743819,-10.243953637066602,40,-2.3864596858956486,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.05_limited_1.0,unresolved_liquidity_shortfall,-0.0791960220096958,-0.21650548294824246,0.04167462735593545,40,-0.18509463671973217,0.27997200279972,0.27997200279972
h7_reserve_0.05_penalty_1.0,cumulative_new_credit,-11.738931445424635,-13.226121584520879,-10.242577805007231,40,-2.386500679542544,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.05_penalty_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
h7_reserve_0.05_unavailable_0.0,cumulative_new_credit,-8.598541059935577,-10.263338134819282,-7.034985691987033,40,-1.6375146624244787,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.05_unavailable_0.0,unresolved_liquidity_shortfall,-0.7372829683408402,-0.913655040331798,-0.5726809615489497,40,-1.305101013977291,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.10_limited_0.5,cumulative_new_credit,-11.72562887283151,-13.200846580418665,-10.231968224135054,40,-2.3973516084479742,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.10_limited_0.5,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
h7_reserve_0.10_limited_1.0,cumulative_new_credit,-11.72562887283151,-13.200846580418665,-10.231968224135054,40,-2.3973516084479742,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.10_limited_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
h7_reserve_0.10_penalty_1.0,cumulative_new_credit,-11.72562887283151,-13.200846580418665,-10.231968224135054,40,-2.3973516084479742,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.10_penalty_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
h7_reserve_0.10_unavailable_0.0,cumulative_new_credit,-11.72562887283151,-13.200846580418665,-10.231968224135054,40,-2.3973516084479742,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.10_unavailable_0.0,unresolved_liquidity_shortfall,3.0198066269804257e-15,-3.3868741144971173e-16,7.474645902227904e-15,40,0.22796599247705754,0.2054794520547945,0.2054794520547945
h7_reserve_0.20_limited_0.5,cumulative_new_credit,-11.521815339267592,-12.994914064191136,-10.048082798120332,40,-2.3721690012948033,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.20_limited_0.5,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
h7_reserve_0.20_limited_1.0,cumulative_new_credit,-11.521815339267592,-12.994914064191136,-10.048082798120332,40,-2.3721690012948033,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.20_limited_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
