pair,regime,period,agent_id,role,attempt,failure_type,latency_seconds,prompt_hash,status
0,administered,1,firm_0,firm,1,,8.552772957991692,e2d646c93ee2a227c0aa188414cdb37b069a05bd7718f83acaaebad21330aec3,valid
0,administered,1,firm_1,firm,1,,8.322318042002735,b704806d93c286de945ff2ff2aee939fa815532fe3811829ed0376a64e8972bf,valid
0,administered,1,firm_2,firm,1,,6.830126166998525,87a501ebaf3071ee20d6a971caf121c96be4f3ae792aa284bec697044a259d0a,valid
0,administered,1,bank_0,bank,1,,7.244012499999371,45314458d6450166adcc74b6d28a9cfdef92b92cdf8574e771dc7e4ac491ffc4,valid
0,administered,1,bank_1,bank,1,,5.620795166993048,3c864a17977e24f85bf501c900dbc2ca40ace086e1cc64b7e12742848121ed8f,valid
0,administered,2,firm_0,firm,1,,6.994012458002544,2acea4e3818a323aeb2f4326bb8c1bf60faaba24b35f766eba6aa37cdd4ee863,valid
0,administered,2,firm_1,firm,1,,4.732197666002321,5380cdcc59abb9a8f896993a60d50642c857b461d7fa41b23cad9bb8e363db22,valid
0,administered,2,firm_2,firm,1,,6.998379124997882,0ac8d9964c2fd35eaa37d98dec7e3071a621fddee64af1337cac236e6e14e68f,valid
0,administered,2,bank_0,bank,1,,11.135665415989934,ea00c3d6a0d435605dc60be4d23d7a165685d978f0d8f21d5d2c2dee6bb8d684,valid
0,administered,2,bank_1,bank,1,,7.261949416992138,7f4783db3b8022d45d4b7dfe5d5353f590fb341cafaa6aa30ba5e22c0d62f6ab,valid
0,administered,3,firm_0,firm,1,,9.2476058750035,6b341410b08e948a810aae2613dd220f31f14e72205df93dd2486b2c70a52a61,valid
0,administered,3,firm_1,firm,1,,8.589807708995068,970e71d49d541ae407d76153ec25ee8ce144d9bb59157c4d5424b9575524f31c,valid
0,administered,3,firm_2,firm,1,,11.65778962499462,dfe24bc27a5cb66bee412bc2d24d2eb6e81100cb245a4c230821adea7f5e76f8,valid
0,administered,3,bank_0,bank,1,,10.905606083004386,166754ca7efd4962f8f2bc94d87e88051979a1f0ccbc6116b50cd7ccb1503368,valid
0,administered,3,bank_1,bank,1,,8.351613167003961,8c65eb9fff23066b916c3cef95d487f5720a96f612b02e0c53995d5c7632d48d,valid
0,market,1,firm_0,firm,1,,8.512103500004741,543dea4f82d8391eb8eff1f402b87773fb6b4f80b43ab1bdf09c0922775ac0c0,valid
0,market,1,firm_1,firm,1,,7.417358708000393,cea02fd625e6aa29c7d6cc247018939d76a9a13eeb8bdce2c63fd69cfe3357c8,valid
0,market,1,firm_2,firm,1,,12.413684875005856,7f60e2d64a7e1a7274a5cccf8decda16925c347ea345f955ff1439c777379e0f,valid
