pair,regime,period,agent_id,role,quantity,rule_quantity,quantity_difference_llm_minus_rule,maturity,rule_maturity,nominal_rate,rule_nominal_rate
0,administered,1,firm_0,firm,64.29913,10.609567978621948,53.68956202137806,12,8,,
0,administered,1,firm_1,firm,54.51925,12.366777354562506,42.15247264543749,12,8,,
0,administered,1,firm_2,firm,39.2889,12.028828137114992,27.260071862885006,12,8,,
0,administered,1,bank_0,bank,4.187749999999999,5.9825,-1.7947500000000005,12,8,0.05,0.07123068419113132
0,administered,1,bank_1,bank,10.024874999999998,14.32125,-4.296375000000001,12,8,0.05,0.07284760067477847
0,administered,2,firm_0,firm,31.2787,9.622451086387802,21.6562489136122,12,8,,
0,administered,2,firm_1,firm,28.582749999999997,0.0,28.582749999999997,12,8,,
0,administered,2,firm_2,firm,55.408550000000005,9.850482570230913,45.558067429769096,12,8,,
0,administered,2,bank_0,bank,7.75061,11.0723,-3.3216900000000003,12,8,0.05,0.07482293806282204
0,administered,2,bank_1,bank,12.07297,17.2471,-5.17413,12,8,0.05,0.0746673007609131
0,administered,3,firm_0,firm,64.5043,12.976670974888604,51.527629025111395,12,8,,
0,administered,3,firm_1,firm,65.25485,9.49408412005366,55.76076587994635,12,8,,
0,administered,3,firm_2,firm,55.54703,9.9487738123071,45.5982561876929,12,8,,
0,administered,3,bank_0,bank,5.878975,11.75795,-5.878975,12,8,0.06,0.0735069440214412
0,administered,3,bank_1,bank,9.99155,19.9831,-9.99155,12,8,0.06,0.07484076014690053
0,market,1,firm_0,firm,64.29913,10.609567978621948,53.68956202137806,12,8,,
0,market,1,firm_1,firm,54.51925,12.366777354562506,42.15247264543749,12,8,,
0,market,1,firm_2,firm,39.2889,12.028828137114992,27.260071862885006,12,8,,
0,market,1,bank_0,bank,4.187749999999999,5.9825,-1.7947500000000005,12,8,0.05,0.057922736764525244
0,market,1,bank_1,bank,10.024874999999998,14.32125,-4.296375000000001,12,8,0.05,0.06439040269911385
0,market,2,firm_0,firm,31.2787,9.622451086387802,21.6562489136122,12,8,,
0,market,2,firm_1,firm,28.582749999999997,0.0,28.582749999999997,12,8,,
0,market,2,firm_2,firm,55.408550000000005,9.850482570230913,45.558067429769096,12,8,,
0,market,2,bank_0,bank,5.53615,11.0723,-5.53615,12,8,0.07,0.07229175225128817
0,market,2,bank_1,bank,8.62355,17.2471,-8.62355,12,8,0.07,0.07166920304365239
0,market,3,firm_0,firm,64.5043,12.976670974888604,51.527629025111395,12,8,,
0,market,3,firm_1,firm,65.25485,9.49408412005366,55.76076587994635,12,8,,
0,market,3,firm_2,firm,55.54703,9.9487738123071,45.5982561876929,12,8,,
0,market,3,bank_0,bank,8.230564999999999,11.75795,-3.5273850000000007,12,8,0.05,0.06702777608576475
0,market,3,bank_1,bank,13.98817,19.9831,-5.99493,12,8,0.05,0.07236304058760211
1,administered,1,firm_0,firm,33.2129,8.466731266435522,24.746168733564474,12,8,,
1,administered,1,firm_1,firm,28.876849999999997,9.396172400624554,19.480677599375444,12,8,,
1,administered,1,firm_2,firm,72.49185,12.231803001594566,60.260046998405436,12,8,,
1,administered,1,bank_0,bank,6.11445,12.2289,-6.11445,12,8,0.03,0.07858227996629226
1,administered,1,bank_1,bank,8.034575,16.06915,-8.034575,12,8,0.03,0.07746039458235918
1,administered,2,firm_0,firm,40.995400000000004,12.28583605714245,28.709563942857553,12,8,,
1,administered,2,firm_1,firm,28.7149,9.68901990076877,19.02588009923123,12,8,,
1,administered,2,firm_2,firm,37.3,8.122732909866212,29.177267090133785,12,8,,
1,administered,2,bank_0,bank,6.7882,13.5764,-6.7882,12,8,0.05,0.07334772671245512
1,administered,2,bank_1,bank,3.5813,7.1626,-3.5813,12,8,0.05,0.07011271030656742
1,administered,3,firm_0,firm,48.44125,11.681953758562676,36.75929624143732,12,8,,
1,administered,3,firm_1,firm,41.3557,9.530779295641725,31.824920704358274,12,8,,
1,administered,3,firm_2,firm,54.6551,9.740512523092844,44.91458747690715,12,8,,
1,administered,3,bank_0,bank,4.881345,6.97335,-2.0920050000000003,12,8,0.05,0.07182123289438601
1,administered,3,bank_1,bank,9.004075,18.00815,-9.004075,12,8,0.05,0.07726284503170898
1,market,1,firm_0,firm,33.2129,8.466731266435522,24.746168733564474,12,8,,
1,market,1,firm_1,firm,40.427589999999995,9.396172400624554,31.03141759937544,12,8,,
1,market,1,firm_2,firm,72.49185,12.231803001594566,60.260046998405436,12,8,,
1,market,1,bank_0,bank,6.11445,12.2289,-6.11445,12,8,0.05,0.08732911986516903
1,market,1,bank_1,bank,8.034575,16.06915,-8.034575,12,8,0.05,0.08284157832943669
1,market,2,firm_0,firm,57.39356,12.28583605714245,45.10772394285755,12,8,,
1,market,2,firm_1,firm,28.7149,9.68901990076877,19.02588009923123,12,8,,
1,market,2,firm_2,firm,37.3,8.122732909866212,29.177267090133785,12,8,,
1,market,2,bank_0,bank,6.7882,13.5764,-6.7882,12,8,0.06,0.0663909068498205
1,market,2,bank_1,bank,3.5813,7.1626,-3.5813,12,8,0.06,0.05345084122626967
1,market,3,firm_0,firm,48.44125,11.681953758562676,36.75929624143732,12,8,,
1,market,3,firm_1,firm,41.3557,9.530779295641725,31.824920704358274,12,8,,
1,market,3,firm_2,firm,54.6551,9.740512523092844,44.91458747690715,12,8,,
