state_index,rate_min,rate_max,approval_min,approval_max,rate_range,approval_range
0,0.085,0.0957,4.694187436646269,6.571862411304776,0.010699999999999987,1.8776749746585075
1,0.11725,0.11725,2.71645,4.074675,0.0,1.358225
2,0.09921,0.09921,5.1533,7.214619999999999,0.0,2.0613199999999994
3,0.08109,0.08109,3.313025,4.9695375,0.0,1.6565125000000003
4,0.07,0.0807,4.29016159586682,6.006226234213548,0.010699999999999987,1.7160646383467277
5,0.119,0.12,5.59265,7.8297099999999995,0.0010000000000000009,2.2370599999999996
6,0.1092,0.1092,5.291275,7.407784999999999,0.0,2.116509999999999
7,0.08,0.11,4.97805,4.97805,0.03,0.0
8,0.099,0.09901,5.585201135146653,7.819281589205313,9.999999999996123e-06,2.2340804540586605
9,0.086,0.08614,3.39585,4.7541899999999995,0.00014000000000000123,1.3583399999999997
