parameter_set_id,outcome,estimate,lower_95,upper_95,n,standardized_effect,p_value,p_value_holm
baseline-calibrated,cumulative_new_credit,-0.3745710088693552,-0.878495720079554,0.13865841891363062,10,-0.42970342155263647,0.19868013198680132,0.39736026397360263
baseline-calibrated,cumulative_output,-0.3708123920738672,-1.1518224718095313,0.36551993984155573,10,-0.2806132693437189,0.3942605739426057,0.39736026397360263
v0.4-local-sensitivity-1-base_credit_demand_minus10,cumulative_new_credit,-0.6771212032280036,-1.3760067343793627,0.03691559252642372,10,-0.5609122522427369,0.10328967103289671,0.18318168183181682
v0.4-local-sensitivity-1-base_credit_demand_minus10,cumulative_output,-1.1386401003792344,-2.2947062596376364,-0.05726570594001732,10,-0.597212336205799,0.09159084091590841,0.18318168183181682
v0.4-local-sensitivity-1-base_credit_demand_plus10,cumulative_new_credit,-0.5704048223300742,-1.263099610012172,0.08825846934149982,10,-0.4862675994370684,0.1621837816218378,0.3243675632436756
v0.4-local-sensitivity-1-base_credit_demand_plus10,cumulative_output,-0.8056842370036066,-2.032855345842189,0.3540476764658724,10,-0.38987279369887506,0.251974802519748,0.3243675632436756
v0.4-local-sensitivity-1-capital_price_minus10,cumulative_new_credit,-0.5815938510779316,-1.2686922936149507,0.04623267002129576,10,-0.516540236677989,0.12618738126187382,0.12618738126187382
v0.4-local-sensitivity-1-capital_price_minus10,cumulative_output,-0.8824296381255863,-1.600342268820574,-0.29196179527727745,10,-0.7725808330201194,0.019098090190980903,0.038196180381961806
v0.4-local-sensitivity-1-capital_price_plus10,cumulative_new_credit,-0.27658465055386056,-0.8611291652860169,0.3130588225837315,10,-0.27353468891610744,0.39466053394660533,0.5715428457154285
v0.4-local-sensitivity-1-capital_price_plus10,cumulative_output,-0.5256831495759797,-1.3815233347920526,0.3079052733327444,10,-0.36142411175393563,0.28577142285771423,0.5715428457154285
v0.4-local-sensitivity-1-investment_share_minus10,cumulative_new_credit,-0.34174786504488935,-0.7332951166999097,0.019783889510308513,10,-0.5187282038425394,0.13058694130586943,0.26117388261173885
v0.4-local-sensitivity-1-investment_share_minus10,cumulative_output,-0.3292106893075015,-0.8425695962233067,0.12772225789625957,10,-0.39466965484324074,0.25237476252374763,0.26117388261173885
v0.4-local-sensitivity-1-investment_share_plus10,cumulative_new_credit,-0.0719303925296479,-0.7214249279724563,0.5082093901019259,10,-0.06856395875823211,0.8454154584541546,1.0
v0.4-local-sensitivity-1-investment_share_plus10,cumulative_output,-0.2770060826771896,-1.3381092736556377,0.7013499161427093,10,-0.15812416794241166,0.6414358564143585,1.0
v0.4-local-sensitivity-1-liquidity_price_minus10,cumulative_new_credit,-0.0644322056509798,-0.8496326802008248,0.6861051085613397,10,-0.048607416133754834,0.8743125687431257,1.0
v0.4-local-sensitivity-1-liquidity_price_minus10,cumulative_output,0.11537931967991426,-0.7381947399978515,0.9623361229233176,10,0.07816399722856711,0.813018698130187,1.0
v0.4-local-sensitivity-1-liquidity_price_plus10,cumulative_new_credit,0.5058860304385155,0.10473253871038728,0.9236741174824885,10,0.7198152105805768,0.0560943905609439,0.1121887811218878
v0.4-local-sensitivity-1-liquidity_price_plus10,cumulative_output,0.4014139502994567,0.02382290566329175,0.8363447088910889,10,0.5774084544535952,0.1045895410458954,0.1121887811218878
v0.4-local-sensitivity-1-production_alpha_minus10,cumulative_new_credit,0.3450568379698872,-0.2128636754102892,0.899626502513705,10,0.3695443685089629,0.2692730726927307,0.5385461453854614
v0.4-local-sensitivity-1-production_alpha_minus10,cumulative_output,-0.10562407486931988,-1.0835499654002558,0.8130684568943047,10,-0.065716894076719,0.8567143285671432,0.8567143285671432
v0.4-local-sensitivity-1-production_alpha_plus10,cumulative_new_credit,0.014221538222971342,-0.7852306208455115,0.7625734363859298,10,0.010638208331290809,0.9775022497750225,0.9775022497750225
v0.4-local-sensitivity-1-production_alpha_plus10,cumulative_output,-0.8093194243046582,-2.495867793704176,0.5998953180389958,10,-0.3083440916335465,0.41345865413458655,0.8269173082691731
v0.4-local-sensitivity-1-risk_price_minus10,cumulative_new_credit,0.14332586984483003,-0.4427894021965158,0.725795156656792,10,0.1422474874574484,0.6578342165783422,1.0
v0.4-local-sensitivity-1-risk_price_minus10,cumulative_output,-0.32550744996269715,-1.5086157422938298,0.9019386273563214,10,-0.15767623484943039,0.6162383761623837,1.0
v0.4-local-sensitivity-1-risk_price_plus10,cumulative_new_credit,-0.33100823356377107,-0.9445331953816388,0.2650844112945786,10,-0.32069825823970466,0.3361663833616638,0.6723327667233276
v0.4-local-sensitivity-1-risk_price_plus10,cumulative_output,-0.344530736016759,-1.1610474889113596,0.47947642078966835,10,-0.24370861446496106,0.46025397460253975,0.6723327667233276
