parameter_set_id,outcome,estimate,lower_95,upper_95,n,standardized_effect,p_value,p_value_holm
baseline-calibrated,cumulative_new_credit,-0.14350149808204243,-0.4901135481119743,0.19153507928351388,20,-0.1780979387632038,0.4413558644135586,0.8827117288271172
baseline-calibrated,cumulative_output,-0.16637293398621295,-0.7317256814312076,0.39832641779123035,20,-0.12412605596365717,0.5931406859314069,0.8827117288271172
v0.4-local-sensitivity-2-base_credit_demand_minus10,cumulative_new_credit,-0.10072599406536475,-0.42401906238214004,0.21785206563760406,20,-0.1340909594702943,0.5629437056294371,1.0
v0.4-local-sensitivity-2-base_credit_demand_minus10,cumulative_output,-0.1334101125043617,-0.6471210806674174,0.3777207535668988,20,-0.10969375513074667,0.6374362563743625,1.0
v0.4-local-sensitivity-2-base_credit_demand_plus10,cumulative_new_credit,-0.16540759676699718,-0.5215138440502475,0.18067448878040085,20,-0.199258426011502,0.38566143385661433,0.7713228677132287
v0.4-local-sensitivity-2-base_credit_demand_plus10,cumulative_output,-0.19927758490355246,-0.7949754801155785,0.38976873122873174,20,-0.14190875021941557,0.5411458854114588,0.7713228677132287
v0.4-local-sensitivity-2-capital_price_minus10,cumulative_new_credit,-0.14350149808204243,-0.4901135481119743,0.19153507928351388,20,-0.1780979387632038,0.4413558644135586,0.8827117288271172
v0.4-local-sensitivity-2-capital_price_minus10,cumulative_output,-0.16637293398621295,-0.7317256814312076,0.39832641779123035,20,-0.12412605596365717,0.5931406859314069,0.8827117288271172
v0.4-local-sensitivity-2-capital_price_plus10,cumulative_new_credit,-0.14350149808204243,-0.4901135481119743,0.19153507928351388,20,-0.1780979387632038,0.4413558644135586,0.8827117288271172
v0.4-local-sensitivity-2-capital_price_plus10,cumulative_output,-0.16637293398621295,-0.7317256814312076,0.39832641779123035,20,-0.12412605596365717,0.5931406859314069,0.8827117288271172
v0.4-local-sensitivity-2-investment_share_minus10,cumulative_new_credit,-0.14234848690238444,-0.4915172447805224,0.19195608182692692,20,-0.1765750772117098,0.44665533446655337,0.8933106689331067
v0.4-local-sensitivity-2-investment_share_minus10,cumulative_output,-0.16676911668967023,-0.7263883171147467,0.3921492099818857,20,-0.12583568000605475,0.5877412258774123,0.8933106689331067
v0.4-local-sensitivity-2-investment_share_plus10,cumulative_new_credit,-0.1373875777275326,-0.486115658214918,0.20358377261005384,20,-0.1687004726087006,0.46565343465653436,0.9313068693130687
v0.4-local-sensitivity-2-investment_share_plus10,cumulative_output,-0.1650413227855097,-0.7406643761358037,0.40720854103636744,20,-0.1214850935856874,0.6021397860213978,0.9313068693130687
v0.4-local-sensitivity-2-liquidity_price_minus10,cumulative_new_credit,-0.1479764547101349,-0.4947702252094671,0.18550280348513337,20,-0.18402820585930588,0.42795720427957207,0.8559144085591441
v0.4-local-sensitivity-2-liquidity_price_minus10,cumulative_output,-0.17229309538545295,-0.7376454258876174,0.3916531346267549,20,-0.12866640681356614,0.5783421657834217,0.8559144085591441
v0.4-local-sensitivity-2-liquidity_price_plus10,cumulative_new_credit,-0.1435042531629644,-0.49011689994540525,0.19153317168181103,20,-0.1781012606300497,0.4413558644135586,0.8827117288271172
v0.4-local-sensitivity-2-liquidity_price_plus10,cumulative_output,-0.16640368824089363,-0.731758512933909,0.39832787277242854,20,-0.12414875324108153,0.593040695930407,0.8827117288271172
v0.4-local-sensitivity-2-production_alpha_minus10,cumulative_new_credit,-0.1424442839379578,-0.4914375101281465,0.1955552118337173,20,-0.17529336231141573,0.44915508449155084,0.8983101689831017
v0.4-local-sensitivity-2-production_alpha_minus10,cumulative_output,-0.20670200047291018,-0.7470475703769159,0.33353527640787317,20,-0.16163089465715372,0.48095190480951905,0.8983101689831017
v0.4-local-sensitivity-2-production_alpha_plus10,cumulative_new_credit,-0.15410012985433919,-0.4974441022542046,0.1760688715022591,20,-0.19348246328687693,0.40105989401059894,0.8021197880211979
v0.4-local-sensitivity-2-production_alpha_plus10,cumulative_output,-0.13845707009324998,-0.7335266018306789,0.4481259001198566,20,-0.0988497217821842,0.6721327867213278,0.8021197880211979
v0.4-local-sensitivity-2-risk_price_minus10,cumulative_new_credit,0.0622583713024236,-0.21050225572098633,0.3502946888702157,20,0.09236072263982978,0.6823317668233176,1.0
v0.4-local-sensitivity-2-risk_price_minus10,cumulative_output,0.02711158578138111,-0.45966749209422464,0.5241198569035844,20,0.023347795906748552,0.9186081391860814,1.0
v0.4-local-sensitivity-2-risk_price_plus10,cumulative_new_credit,-0.48532827907506293,-0.8859355670376419,-0.10154532586247113,20,-0.5207937531576339,0.026997300269973004,0.05399460053994601
v0.4-local-sensitivity-2-risk_price_plus10,cumulative_output,-0.557332021612433,-1.1731545535959351,0.05317055675098686,20,-0.38081707366197726,0.10258974102589741,0.10258974102589741
